country_iso3,country_name,region,income_group,expected_schooling,gdp_per_capita_ppp,health_spending_ppp,life_expectancy,obesity_prevalence,physicians_density,population,tobacco_prevalence,under5_mortality,predicted_life_expectancy_loo,residual_loo,absolute_residual_loo,prediction_band_low,prediction_band_high,position,cooks_distance,leverage,pc1,pc2,cluster_k2,cluster_k4,stable_all_specs
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,,2967.692067153,231.533667789642,60.32951348,12.547846,2.9,33831764.0,26.4,71.9,65.65134897127957,-5.321835491279572,5.321835491279572,61.18295124622852,70.11974669633062,below,0.012456007405741302,0.03430473460067461,2.477112679372837,0.7956352384453937,2,3,False
ALB,Albania,Europe & Central Asia,Upper middle income,15.0763,13876.7616296598,749.185049076799,77.76638448,19.295518,,2731293.0,25.5,9.6,72.82268475696713,4.943699723032864,4.943699723032864,68.35428703191607,77.2910824820182,above,0.00226506054660467,0.007228925420065565,-0.6888559686314217,0.29124349835290125,1,2,False
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,,75238.5571858454,2437.34971906404,80.71356774,31.76173,23.61,8505237.0,11.2,7.6,79.60044620086951,1.1131215391304892,1.1131215391304892,75.13204847581846,84.06884392592056,within,0.0007406301998411891,0.04662451645447224,-2.149215484512044,-1.608218792976534,1,1,True
ARG,Argentina,Latin America & Caribbean,Upper middle income,17.40955,28669.2061336796,2044.36740095168,76.5300965,28.83673,49.69,43477012.0,26.7,11.7,77.21972842939579,-0.6896319293957873,0.6896319293957873,72.75133070434472,81.68812615444685,within,9.09165169947892e-05,0.01491097922202832,-1.4388397725784972,0.08828235748622547,1,1,True
ARM,Armenia,Europe & Central Asia,Upper middle income,12.96795,13112.7600902915,1015.35194765081,74.27859114,21.192832,29.19,3004600.0,28.9,14.7,73.44691095307253,0.8316801869274713,0.8316801869274713,68.97851322802148,77.91530867812358,within,0.00014371848919395957,0.016206828231085397,-0.4785675831689684,0.5749364377249707,1,2,True
AUS,Australia,East Asia & Pacific,High income,23.08892,55879.9958817103,4760.54357572354,82.287472,27.004611,34.86,23815995.0,15.4,3.9,80.16505136575316,2.1224206342468364,2.1224206342468364,75.6966536407021,84.63344909080422,within,0.001706518845313473,0.029549236716810295,-2.6159057598005346,-1.1497208565331856,1,1,True
AUT,Austria,Europe & Central Asia,High income,15.95141,60951.6037273662,5247.51839437757,80.98621911,14.619385,50.98,8642699.0,31.2,3.7,82.1442459393377,-1.1580268293377003,1.1580268293377003,77.67584821428665,86.61264366438874,within,0.0005822605345219823,0.03386711551706347,-2.6168700887756615,0.5061261925492228,1,1,True
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,,20678.7539572375,647.518914149671,73.62700051,22.894016,33.28,9649341.0,22.4,27.9,73.69893005338344,-0.07192954338343327,0.07192954338343327,69.23053232833237,78.1673277784345,within,1.0821761155254476e-06,0.016314787998126933,-0.11314101871330506,-0.12016392645015463,1,2,True
BDI,Burundi,Sub-Saharan Africa,Low income,11.52796,992.28580552029,50.1679801684129,62.7069542,3.3372685,0.46,11047580.0,14.1,66.9,57.75179845273993,4.955155747260065,4.955155747260065,53.28340072768888,62.22019617779099,above,0.014896549955437027,0.04732266294800598,3.744312324975111,0.017221468953242662,2,4,False
BEL,Belgium,Europe & Central Asia,High income,19.76292,57509.0245728704,5032.23017951923,80.70631194,18.389861,30.17,11274196.0,25.7,4.1,81.36367565679438,-0.6573637167943787,0.6573637167943787,76.89527793174332,85.83207338184545,within,0.00014782866809213543,0.026683654081573402,-2.5072921954979464,-0.05945300364455964,1,1,True
BEN,Benin,Sub-Saharan Africa,Lower middle income,12.80451,2952.00218338705,74.3508582501171,62.62662,8.8138655,,11360681.0,9.4,96.1,62.06396182028504,0.5626581797149655,0.5626581797149655,57.59556409523398,66.53235954533609,within,0.00012936964177804924,0.03187433984943726,3.261689614856727,-0.7162738363042828,2,4,True
BFA,Burkina Faso,Sub-Saharan Africa,Low income,8.25893,2101.70266192027,86.8105637363947,60.94298433,4.3594766,0.63,18777487.0,16.5,100.8,61.81433722066146,-0.8713528906614556,0.8713528906614556,57.3459394956104,66.28273494571252,within,0.00026389740817685627,0.02711097080413523,3.4528215504100928,0.06243250501500156,2,4,True
BGD,Bangladesh,South Asia,Lower middle income,,5352.71133299566,95.7094284834595,73.19207211,3.2357212,4.76,159383179.0,39.1,38.5,66.50423045689453,6.687841653105465,6.687841653105465,62.03583273184348,70.9726281819456,above,0.04475500517748999,0.07804907223790812,1.480288487972392,2.1013819405643055,2,3,True
BGR,Bulgaria,Europe & Central Asia,High income,14.94668,24562.648880929,1388.45076597855,74.56358707,18.698044,40.41,6984225.0,40.4,8.2,77.23773289082192,-2.67414582082192,2.67414582082192,72.76933516577085,81.70613061587298,within,0.0025896765930465866,0.028247073318324434,-1.2713676608587923,1.6148368465862608,1,1,True
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,15.99202,54149.9131524721,2283.39810616744,75.75082454,32.848486,9.27,1370322.0,17.2,7.7,78.92467138132704,-3.173846841327048,3.173846841327048,74.45627365627598,83.3930691063781,within,0.003446896732472941,0.026690360424280503,-1.8081667068232616,-0.9628392862906564,1,1,True
BHS,"Bahamas, The",Latin America & Caribbean,High income,,32777.5849410742,1661.91509973762,72.92357543,42.025879,,385346.0,15.5,14.0,76.39183570565933,-3.4682602756593326,3.4682602756593326,71.92343798060827,80.8602334307104,within,0.006120133842361228,0.039685846985458,-1.2339747730986315,-1.1369569125963452,1,2,True
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,,14220.0900038037,1120.60829265156,76.9957646,18.461807,21.07,3518541.0,40.0,6.7,74.75739163510666,2.238372964893344,2.238372964893344,70.28899391005561,79.2257893601577,within,0.0020805268941273447,0.03238967032155733,-1.189753520457143,1.6793431043790517,1,1,True
BLR,Belarus,Europe & Central Asia,Upper middle income,15.56528,25513.2132958317,1096.81250685851,73.73950531,21.69091,42.55,9461076.0,33.7,4.1,76.34569484429628,-2.606189534296277,2.606189534296277,71.87729711924521,80.81409256934734,within,0.0015353133206745825,0.01763125075239811,-1.4074297168973473,0.9815858650242575,1,1,False
BLZ,Belize,Latin America & Caribbean,Upper middle income,12.79226,12348.7944978311,444.458802251332,74.30568158,37.289664,,356333.0,10.1,15.6,69.87192471100788,4.43375686899212,4.43375686899212,65.40352698595683,74.34032243605893,within,0.010695553790148657,0.0424382654109,-0.17961490708128738,-1.3395067608269287,1,2,True
