country_name,country_iso3,year,total_ddd_per_1000_day,access_ddd,watch_ddd,reserve_ddd,unclassified_ddd,access_share_pct,coverage_caveat,interpretive_quadrant,volume_band,access_target,paradox_quadrant,has_coverage_caveat
Armenia,ARM,2023,14.141744,8.695858,5.1030717,0.020175207,0.06008628,62.65392473406527,,Volume < mediana · Access < 70%,low,below_70,low_volume__lower_access,False
Austria,AUT,2023,11.8882265,7.395719,4.142328,0.09215241,0.11183858,62.98496910245476,somente consumo comunitário reportado,Volume < mediana · Access < 70%,low,below_70,low_volume__lower_access,True
Belgium,BEL,2023,21.125095,14.450346,5.8774977,0.024451284,0.57682705,69.04420537337865,,Volume ≥ mediana · Access < 70%,high,below_70,high_volume__higher_access,False
Benin,BEN,2023,22.717428,15.326317,6.9759803,0.0,0.17404284,68.18866819302372,,Volume ≥ mediana · Access < 70%,high,below_70,high_volume__higher_access,False
Burkina Faso,BFA,2023,20.238438,15.611165,4.5177107,0.0,0.10956147,77.13621792467683,escopo de classes antimicrobianas parcial,Volume ≥ mediana · Access ≥ 70%,high,meets_70,high_volume__higher_access,True
Bangladesh,BGD,2023,32.724857,10.560764,18.086754,0.0692156,3.4292061,32.85255960335171,,Volume ≥ mediana · Access < 70%,high,below_70,high_volume__lower_access,False
Belarus,BLR,2023,20.836798,13.734569,6.4594555,0.07015547,0.1573357,67.2553850651576,,Volume ≥ mediana · Access < 70%,high,below_70,high_volume__higher_access,False
Brunei,BRN,2023,9.300538,6.491376,2.7610164,0.01939633,0.028749427,69.7957031133118,,Volume < mediana · Access < 70%,low,below_70,low_volume__higher_access,False
Bhutan,BTN,2023,12.154963,10.751103,1.4022789,0.00158032,0.0,88.45032016890958,escopo de classes antimicrobianas parcial,Volume < mediana · Access ≥ 70%,low,meets_70,low_volume__higher_access,True
Canada,CAN,2023,14.526112,10.53933,3.357915,0.03265691,0.4749224,73.16527972287362,,Volume < mediana · Access ≥ 70%,low,meets_70,low_volume__higher_access,False
