country_iso3,class_id,ddd_2011,ddd_2021,absolute_change,percent_change,count,mean,median
AUS,antidepressants,88.9,127.9,39.0,43.86951631046119,27,53.48496686483732,43.86951631046119
AUT,antidepressants,57.2,63.5,6.299999999999997,11.01398601398601,27,53.48496686483732,43.86951631046119
BEL,antidepressants,70.0,86.2,16.200000000000003,23.142857142857146,27,53.48496686483732,43.86951631046119
CAN,antidepressants,82.7,130.1,47.39999999999999,57.315598548972176,27,53.48496686483732,43.86951631046119
CHL,antidepressants,25.2,90.7,65.5,259.92063492063494,27,53.48496686483732,43.86951631046119
CRI,antidepressants,24.4,41.5,17.1,70.08196721311477,27,53.48496686483732,43.86951631046119
CZE,antidepressants,44.1,69.4,25.300000000000004,57.369614512471664,27,53.48496686483732,43.86951631046119
DEU,antidepressants,50.0,64.0,14.0,28.0,27,53.48496686483732,43.86951631046119
DNK,antidepressants,85.2,84.6,-0.6000000000000085,-0.704225352112686,27,53.48496686483732,43.86951631046119
ESP,antidepressants,63.9,92.7,28.800000000000004,45.07042253521128,27,53.48496686483732,43.86951631046119
EST,antidepressants,17.9,40.7,22.800000000000004,127.37430167597769,27,53.48496686483732,43.86951631046119
FIN,antidepressants,70.2,85.2,15.0,21.367521367521366,27,53.48496686483732,43.86951631046119
FRA,antidepressants,51.7,57.6,5.899999999999999,11.41199226305609,27,53.48496686483732,43.86951631046119
GBR,antidepressants,70.7,138.2,67.49999999999999,95.47383309759545,27,53.48496686483732,43.86951631046119
HRV,antidepressants,24.6,37.1,12.5,50.8130081300813,27,53.48496686483732,43.86951631046119
HUN,antidepressants,27.3,29.8,2.5,9.157509157509157,27,53.48496686483732,43.86951631046119
ISL,antidepressants,103.8,161.1,57.3,55.202312138728324,27,53.48496686483732,43.86951631046119
ITA,antidepressants,38.3,44.6,6.300000000000004,16.449086161879908,27,53.48496686483732,43.86951631046119
KOR,antidepressants,13.8,31.1,17.3,125.3623188405797,27,53.48496686483732,43.86951631046119
LTU,antidepressants,20.8,37.4,16.599999999999998,79.80769230769229,27,53.48496686483732,43.86951631046119
NLD,antidepressants,41.6,48.5,6.899999999999999,16.58653846153846,27,53.48496686483732,43.86951631046119
NOR,antidepressants,57.7,61.1,3.3999999999999986,5.892547660311956,27,53.48496686483732,43.86951631046119
PRT,antidepressants,78.3,138.8,60.500000000000014,77.26692209450833,27,53.48496686483732,43.86951631046119
SVK,antidepressants,30.7,44.7,14.000000000000004,45.602605863192196,27,53.48496686483732,43.86951631046119
SVN,antidepressants,50.0,66.1,16.099999999999994,32.19999999999999,27,53.48496686483732,43.86951631046119
SWE,antidepressants,79.4,108.9,29.5,37.1536523929471,27,53.48496686483732,43.86951631046119
TUR,antidepressants,37.0,52.5,15.5,41.891891891891895,27,53.48496686483732,43.86951631046119
