country_iso3,country_name,region,income_group,expected_schooling,gdp_per_capita_ppp,health_spending_ppp,life_expectancy,obesity_prevalence,physicians_density,population,tobacco_prevalence,under5_mortality
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,,2967.692067153,231.533667789642,60.32951348,12.547846,2.9,33831764.0,26.4,71.9
ALB,Albania,Europe & Central Asia,Upper middle income,15.0763,13876.7616296598,749.185049076799,77.76638448,19.295518,,2731293.0,25.5,9.6
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,,75238.5571858454,2437.34971906404,80.71356774,31.76173,23.61,8505237.0,11.2,7.6
ARG,Argentina,Latin America & Caribbean,Upper middle income,17.40955,28669.2061336796,2044.36740095168,76.5300965,28.83673,49.69,43477012.0,26.7,11.7
ARM,Armenia,Europe & Central Asia,Upper middle income,12.96795,13112.7600902915,1015.35194765081,74.27859114,21.192832,29.19,3004600.0,28.9,14.7
AUS,Australia,East Asia & Pacific,High income,23.08892,55879.9958817103,4760.54357572354,82.287472,27.004611,34.86,23815995.0,15.4,3.9
AUT,Austria,Europe & Central Asia,High income,15.95141,60951.6037273662,5247.51839437757,80.98621911,14.619385,50.98,8642699.0,31.2,3.7
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,,20678.7539572375,647.518914149671,73.62700051,22.894016,33.28,9649341.0,22.4,27.9
BDI,Burundi,Sub-Saharan Africa,Low income,11.52796,992.28580552029,50.1679801684129,62.7069542,3.3372685,0.46,11047580.0,14.1,66.9
BEL,Belgium,Europe & Central Asia,High income,19.76292,57509.0245728704,5032.23017951923,80.70631194,18.389861,30.17,11274196.0,25.7,4.1
BEN,Benin,Sub-Saharan Africa,Lower middle income,12.80451,2952.00218338705,74.3508582501171,62.62662,8.8138655,,11360681.0,9.4,96.1
BFA,Burkina Faso,Sub-Saharan Africa,Low income,8.25893,2101.70266192027,86.8105637363947,60.94298433,4.3594766,0.63,18777487.0,16.5,100.8
BGD,Bangladesh,South Asia,Lower middle income,,5352.71133299566,95.7094284834595,73.19207211,3.2357212,4.76,159383179.0,39.1,38.5
BGR,Bulgaria,Europe & Central Asia,High income,14.94668,24562.648880929,1388.45076597855,74.56358707,18.698044,40.41,6984225.0,40.4,8.2
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,15.99202,54149.9131524721,2283.39810616744,75.75082454,32.848486,9.27,1370322.0,17.2,7.7
BHS,"Bahamas, The",Latin America & Caribbean,High income,,32777.5849410742,1661.91509973762,72.92357543,42.025879,,385346.0,15.5,14.0
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,,14220.0900038037,1120.60829265156,76.9957646,18.461807,21.07,3518541.0,40.0,6.7
BLR,Belarus,Europe & Central Asia,Upper middle income,15.56528,25513.2132958317,1096.81250685851,73.73950531,21.69091,42.55,9461076.0,33.7,4.1
BLZ,Belize,Latin America & Caribbean,Upper middle income,12.79226,12348.7944978311,444.458802251332,74.30568158,37.289664,,356333.0,10.1,15.6
BOL,Bolivia,Latin America & Caribbean,Lower middle income,,11144.6415720641,468.504622088813,71.94895895,23.10584,,11014705.0,16.2,26.7
BRA,Brazil,Latin America & Caribbean,Upper middle income,,18357.0690617991,1320.48649469287,74.711289,21.678105,,201675532.0,15.2,16.0
BRN,Brunei Darussalam,East Asia & Pacific,High income,14.62773,81910.1882959493,1496.89287932291,76.55761257,27.06863,17.5,422212.0,15.9,10.7
BTN,Bhutan,South Asia,Lower middle income,,12400.2983237391,334.923831761654,73.07489389,8.3270825,3.39,740618.0,22.7,29.2
BWA,Botswana,Sub-Saharan Africa,Upper middle income,,15994.9643042101,863.173293373375,62.04575871,15.852104,,2203273.0,22.1,46.7
CAN,Canada,North America,High income,15.8914,55660.8455840759,4773.7481512308,81.64860674,25.112811,,35704498.0,15.9,5.3
CHE,Switzerland,Europe & Central Asia,High income,16.19401,78325.7487417695,7166.58637587459,82.58994495,10.323732,41.96,8282396.0,25.6,4.3
