country_name,country_iso3,year,total_ddd_per_1000_day,access_ddd,watch_ddd,reserve_ddd,unclassified_ddd,access_share_pct,coverage_caveat,interpretive_quadrant
Armenia,ARM,2016,9.792132,5.592906,3.9917989,0.008539406,0.06288629,57.92077835315143,,
Armenia,ARM,2017,12.668812,8.297013,4.020206,0.015705455,0.052389115,66.99073828939802,,
Armenia,ARM,2018,12.9852495,8.086268,4.550413,0.009477745,0.069462776,63.59317935537349,,
Armenia,ARM,2019,12.230443,6.8181577,4.972932,0.01452899,0.04870655,57.51620241524604,,
Armenia,ARM,2020,18.687641,8.654154,9.517066,0.0231905,0.07317456,47.37437363272364,,
Armenia,ARM,2021,14.589073,7.213113,7.198202,0.021598797,0.03640386,49.8510929885517,,
Armenia,ARM,2022,9.8333435,4.9381843,4.6498895,0.004887026,0.058671787,51.16423819684815,,
Armenia,ARM,2023,14.141744,8.695858,5.1030717,0.020175207,0.06008628,62.65392473406527,,Volume < mediana · Access < 70%
Austria,AUT,2016,11.634523,6.884112,4.426606,0.019669574,0.1423403,60.00414265556736,somente consumo comunitário reportado,
Austria,AUT,2017,12.153824,7.20439,4.706625,0.021866167,0.058823332,60.07811483847673,somente consumo comunitário reportado,
Austria,AUT,2018,10.89535,6.43886,4.255715,0.020320617,0.05559065,59.78244473258564,somente consumo comunitário reportado,
Austria,AUT,2019,12.215894,7.205995,4.6816096,0.08617305,0.07808472,59.791547387211,somente consumo comunitário reportado,
Austria,AUT,2020,9.381688,5.6703644,3.407507,0.083787076,0.07448332,61.393215102606256,somente consumo comunitário reportado,
Austria,AUT,2021,9.417733,5.652732,3.4084392,0.09305229,0.11746092,60.9676920614687,somente consumo comunitário reportado,
Austria,AUT,2022,11.026231,6.6396475,4.0497127,0.09211979,0.10593283,60.98462150533206,somente consumo comunitário reportado,
Austria,AUT,2023,11.8882265,7.395719,4.142328,0.09215241,0.11183858,62.98496910245476,somente consumo comunitário reportado,Volume < mediana · Access < 70%
Belgium,BEL,2016,24.541258,15.290624,8.3678,0.026964732,0.62090826,62.90807688654774,,
Belgium,BEL,2017,23.123749,14.472723,7.7672977,0.02712092,0.6182389,63.240036526165646,,
Belgium,BEL,2018,22.65774,14.874509,6.8917413,0.027835034,0.6207285,66.3601719387807,,
Belgium,BEL,2019,21.748941,14.636821,6.2516727,0.026683861,0.59273154,68.0532028067734,,
Belgium,BEL,2020,17.040966,11.359794,4.894356,0.025639432,0.5535283,67.48398729743647,,
Belgium,BEL,2021,17.815628,12.079934,4.932335,0.025290294,0.58349305,68.55398737926816,,
Belgium,BEL,2022,20.874287,14.392113,5.716608,0.025787035,0.5476439,69.58711571809174,,
Belgium,BEL,2023,21.125095,14.450346,5.8774977,0.024451284,0.57682705,69.04420537337865,,Volume ≥ mediana · Access < 70%
Benin,BEN,2016,22.111816,17.265535,4.598549,0.0,0.06343886,78.73910386610811,,
Benin,BEN,2017,27.636494,18.439373,8.83325,0.0,0.09500807,67.37657692343338,,
Benin,BEN,2018,23.263105,18.184977,4.9162874,0.0,0.071801975,78.4746252641759,,
Benin,BEN,2019,18.620092,13.967703,3.9998693,0.0,0.12186927,77.21467213871543,,
Benin,BEN,2020,15.775744,10.660186,3.3688045,3.25e-05,0.12320934,75.32512005098978,,
Benin,BEN,2021,17.458641,12.508358,4.330728,0.0,0.5928168,71.75555155114793,,
Benin,BEN,2022,23.382936,17.398546,4.2346764,0.0,0.19162641,79.71897606927797,,
Benin,BEN,2023,22.717428,15.326317,6.9759803,0.0,0.17404284,68.18866819302372,,Volume ≥ mediana · Access < 70%
Burkina Faso,BFA,2017,19.51261,17.032234,2.4036539,0.0,0.07672198,87.28834381841288,escopo de classes antimicrobianas parcial,
Burkina Faso,BFA,2018,21.041296,17.584105,3.3365688,0.0,0.12062111,83.56950023851931,escopo de classes antimicrobianas parcial,
Burkina Faso,BFA,2019,18.454872,13.730768,4.6104317,0.0,0.11367188,74.40186153817712,escopo de classes antimicrobianas parcial,
Burkina Faso,BFA,2020,20.174881,15.388439,4.6760106,0.0,0.11043027,76.27524475564573,escopo de classes antimicrobianas parcial,
Burkina Faso,BFA,2021,18.446978,13.475916,4.8723216,0.0,0.09873976,73.05216316479502,escopo de classes antimicrobianas parcial,
Burkina Faso,BFA,2022,20.103882,15.158708,4.849498,0.0,0.09567707,75.40189100393529,escopo de classes antimicrobianas parcial,
Burkina Faso,BFA,2023,20.238438,15.611165,4.5177107,0.0,0.10956147,77.13621792467683,escopo de classes antimicrobianas parcial,Volume ≥ mediana · Access ≥ 70%
Bangladesh,BGD,2016,23.843424,8.484197,15.307268,0.0047470788,0.009781509,35.638911556911225,,
Bangladesh,BGD,2017,20.98845,10.091889,10.85796,0.00979439,0.009274251,48.1278489084605,,
Bangladesh,BGD,2018,19.797302,8.222042,11.524926,0.014198707,0.010138733,41.58573152871184,,
Bangladesh,BGD,2019,24.353333,9.039128,15.219853,0.053295292,0.010547756,37.163151705417455,,
Bangladesh,BGD,2020,24.902145,10.144392,14.689714,0.05722287,0.00897544,40.74003222493147,,
